NUMBER LOVE_H LOVE_L LOVE_K
307 -3.976279052 0.0030580699 -0.0052482385
308 -3.980943334 0.0030502862 -0.0052363334
309 -3.985604009 0.0030425715 -0.0052245167
310 -3.990261051 0.0030349252 -0.0052127876
311 -3.994914435 0.0030273465 -0.0052011449
312 -3.999564135 0.0030198347 -0.0051895878
313 -4.004210127 0.0030123891 -0.0051781153
314 -4.008852384 0.003005009 -0.0051667263
315 -4.013490883 0.0029976937 -0.0051554201
316 -4.018125598 0.0029904426 -0.0051441957
317 -4.022756504 0.0029832548 -0.0051330522
318 -4.027383577 0.0029761299 -0.0051219886
319 -4.032006792 0.0029690671 -0.0051110041
320 -4.036626125 0.0029620658 -0.0051000978
321 -4.041241551 0.0029551254 -0.0050892689
322 -4.045853047 0.0029482452 -0.0050785164
323 -4.050460587 0.0029414245 -0.0050678397
324 -4.055064148 0.0029346628 -0.0050572378
325 -4.059663706 0.0029279594 -0.0050467098
326 -4.064259237 0.0029213138 -0.0050362552
327 -4.068850717 0.0029147254 -0.0050258729
328 -4.073438123 0.0029081934 -0.0050155622
329 -4.078021431 0.0029017175 -0.0050053224
330 -4.082600618 0.0028952969 -0.0049951527
331 -4.087175661 0.0028889311 -0.0049850524
332 -4.091746535 0.0028826196 -0.0049750206
333 -4.09631322 0.0028763617 -0.0049650567
334 -4.10087569 0.002870157 -0.0049551599
335 -4.105433924 0.0028640048 -0.0049453295
336 -4.109987899 0.0028579047 -0.0049355648
337 -4.114537592 0.0028518561 -0.0049258651
338 -4.11908298 0.0028458584 -0.0049162297
339 -4.123624042 0.0028399112 -0.004906658
340 -4.128160755 0.0028340139 -0.0048971492
341 -4.132693096 0.002828166 -0.0048877027
342 -4.137221045 0.002822367 -0.0048783178
343 -4.141744579 0.0028166164 -0.0048689939
344 -4.146263675 0.0028109136 -0.0048597304
345 -4.150778314 0.0028052583 -0.0048505265
346 -4.155288472 0.0027996499 -0.0048413818
347 -4.159794129 0.002794088 -0.0048322955
348 -4.164295262 0.002788572 -0.0048232671
349 -4.168791853 0.0027831015 -0.004814296
350 -4.173283877 0.0027776761 -0.0048053816
351 -4.177771316 0.0027722952 -0.0047965232
352 -4.182254148 0.0027669584 -0.0047877203
353 -4.186732352 0.0027616652 -0.0047789724
354 -4.191205909 0.0027564153 -0.0047702788
355 -4.195674796 0.0027512082 -0.004761639
356 -4.200138995 0.0027460433 -0.0047530525
357 -4.204598484 0.0027409204 -0.0047445188
358 -4.209053243 0.002735839 -0.0047360372
359 -4.213503254 0.0027307986 -0.0047276072
360 -4.217948495 0.0027257989 -0.0047192284
361 -4.222388948 0.0027208393 -0.0047109001
362 -4.226824591 0.0027159196 -0.004702622
363 -4.231255407 0.0027110393 -0.0046943934
364 -4.235681375 0.002706198 -0.004686214
365 -4.240102476 0.0027013953 -0.0046780831
366 -4.244518692 0.0026966309 -0.0046700003
367 -4.248930003 0.0026919042 -0.0046619651
368 -4.25333639 0.002687215 -0.0046539771
369 -4.257737834 0.0026825628 -0.0046460358
370 -4.262134317 0.0026779474 -0.0046381407
371 -4.266525821 0.0026733683 -0.0046302913
372 -4.270912326 0.0026688251 -0.0046224872
373 -4.275293815 0.0026643174 -0.0046147279
374 -4.27967027 0.0026598451 -0.0046070131
375 -4.284041672 0.0026554075 -0.0045993422
376 -4.288408004 0.0026510045 -0.0045917149
377 -4.292769248 0.0026466357 -0.0045841306
378 -4.297125386 0.0026423006 -0.0045765891
379 -4.301476401 0.0026379991 -0.0045690898
380 -4.305822274 0.0026337306 -0.0045616323
